Date,Description,Category,Amount,Type
2026-01-13,Practical Wooden Keyboard,Alimentation,284.78517347300203,Expense
2025-12-16,Practical Gold Chair,Alimentation,366.6061614111769,Expense
2025-12-19,Handcrafted Bamboo Mouse,Santé,324.0761004948753,Expense
2025-12-22,Generic Concrete Salad,Freelance,206.18941283403367,Income
2026-01-03,Licensed Bamboo Chips,Logement,441.89725284557954,Expense
2025-12-19,Bespoke Granite Shirt,Salaire,203.7014309597377,Income
2025-12-30,Frozen Wooden Car,Freelance,378.0524477255102,Income
2025-12-18,Small Metal Towels,Shopping,431.77421330153396,Expense
2025-12-27,Intelligent Ceramic Sausages,Freelance,162.37527993613693,Income
2026-01-08,Tasty Marble Bike,Transport,408.8553020625325,Expense
2026-01-10,Gorgeous Bronze Bike,Transport,303.7472666489702,Expense
2026-01-04,Rustic Gold Car,Transport,298.61333232055057,Expense
2026-01-02,Gorgeous Bamboo Salad,Loisirs,213.08064450055923,Expense
2025-12-26,Awesome Marble Fish,Santé,372.14616592319805,Expense
2026-01-09,Ergonomic Rubber Bacon,Alimentation,498.60424861303045,Expense
2025-12-21,Refined Granite Shirt,Transport,85.30388036915912,Expense
2026-01-03,Frozen Wooden Shoes,Salaire,278.7949102992028,Income
2025-12-27,Practical Plastic Chicken,Loisirs,105.48486376496537,Expense
2026-01-11,Gorgeous Bamboo Ball,Freelance,189.36559664763772,Income
2025-12-18,Handcrafted Steel Table,Salaire,93.83529077737225,Income
2026-01-03,Practical Bamboo Soap,Transport,395.6094542412832,Expense
2026-01-06,Fresh Gold Salad,Freelance,303.41586633988527,Income
2026-01-06,Awesome Gold Fish,Freelance,368.8163248841353,Income
2025-12-31,Intelligent Cotton Chair,Shopping,210.59359171258944,Expense
2026-01-10,Unbranded Plastic Chicken,Transport,257.00407882121226,Expense
2025-12-23,Modern Granite Table,Transport,455.95251524249784,Expense
2025-12-15,Fresh Bronze Keyboard,Salaire,275.8962931883956,Income
2025-12-21,Frozen Concrete Sausages,Loisirs,305.16669632084466,Expense
2026-01-12,Rustic Silk Pants,Alimentation,451.2454325222874,Expense
2025-12-18,Fresh Bronze Soap,Alimentation,125.81617705165564,Expense
2025-12-15,Recycled Rubber Shirt,Shopping,199.83931468002328,Expense
2025-12-17,Small Marble Towels,Logement,376.0476498248561,Expense
2026-01-04,Intelligent Rubber Chair,Loisirs,270.6419583976818,Expense
2025-12-16,Ergonomic Bronze Bike,Transport,142.17774628839982,Expense
2025-12-21,Electronic Gold Mouse,Loisirs,362.99368657666986,Expense
2025-12-26,Gorgeous Steel Table,Transport,68.12392555267635,Expense
2026-01-04,Tasty Marble Hat,Loisirs,204.6790791305162,Expense
2026-01-06,Fresh Rubber Chicken,Santé,71.46947845217836,Expense
2025-12-31,Tasty Granite Bacon,Santé,289.650861160845,Expense
2026-01-05,Fresh Bronze Pants,Alimentation,27.57735260996474,Expense
2025-12-16,Fantastic Wooden Gloves,Loisirs,408.0017494322248,Expense
2025-12-27,Incredible Metal Chicken,Transport,382.5779880768673,Expense
2026-01-02,Fresh Cotton Car,Freelance,278.24315943620695,Income
2025-12-17,Soft Bronze Gloves,Santé,401.91817775193385,Expense
2025-12-21,Fantastic Silk Bike,Transport,261.0173321511757,Expense
2026-01-01,Generic Bamboo Sausages,Logement,100.36131096449519,Expense
2025-12-22,Practical Silk Cheese,Santé,308.7955601695251,Expense
2025-12-20,Practical Ceramic Shoes,Freelance,52.86249824602913,Income
2026-01-11,Generic Aluminum Mouse,Freelance,222.34662867494484,Income
2026-01-07,Bespoke Rubber Tuna,Salaire,65.56283852835958,Income
2025-12-17,Bespoke Steel Pants,Loisirs,446.61536336920153,Expense
2025-12-17,Modern Cotton Salad,Shopping,126.99482617797841,Expense
2026-01-09,Handcrafted Granite Towels,Transport,484.58826419707975,Expense
2026-01-10,Modern Rubber Mouse,Loisirs,226.58540411759415,Expense
2026-01-01,Intelligent Bronze Salad,Shopping,70.07006566230709,Expense
2025-12-24,Luxurious Bronze Hat,Logement,247.5931848905837,Expense
2026-01-01,Fresh Granite Towels,Salaire,348.54505412719635,Income
2026-01-02,Handmade Rubber Shirt,Transport,410.52456894869147,Expense
2026-01-04,Rustic Steel Soap,Transport,278.74867516031,Expense
2025-12-28,Licensed Aluminum Pants,Santé,90.70145089316769,Expense
2026-01-04,Bespoke Marble Table,Logement,166.97707399393607,Expense
2026-01-07,Gorgeous Bamboo Salad,Logement,173.38552585630558,Expense
2025-12-17,Ergonomic Plastic Mouse,Salaire,208.35113104061944,Income
2025-12-30,Handcrafted Concrete Tuna,Santé,362.24862504617766,Expense
2026-01-12,Recycled Ceramic Towels,Loisirs,218.23683890156664,Expense
2026-01-05,Unbranded Metal Keyboard,Loisirs,78.23694586301718,Expense
2025-12-26,Frozen Steel Chicken,Alimentation,174.37734163056223,Expense
2026-01-05,Soft Bamboo Soap,Alimentation,277.2230493482388,Expense
2026-01-07,Incredible Concrete Shoes,Shopping,113.6548018550535,Expense
2025-12-16,Luxurious Wooden Keyboard,Alimentation,302.8745486272289,Expense
2025-12-20,Gorgeous Metal Pizza,Shopping,243.4726564590123,Expense
2026-01-06,Rustic Bronze Soap,Salaire,428.8204443748324,Income
2025-12-18,Modern Ceramic Sausages,Shopping,144.8506797106569,Expense
2025-12-28,Gorgeous Silk Towels,Alimentation,448.80057510533436,Expense
2025-12-28,Awesome Bamboo Tuna,Transport,215.96426520840208,Expense
2026-01-01,Incredible Marble Keyboard,Alimentation,315.4094808569897,Expense
2025-12-24,Electronic Marble Sausages,Logement,306.3474861618954,Expense
2026-01-03,Luxurious Concrete Soap,Transport,147.07083920705887,Expense
2026-01-13,Gorgeous Plastic Salad,Transport,296.9105547618792,Expense
2026-01-06,Rustic Bronze Salad,Santé,460.1560345289422,Expense
2026-01-11,Small Bronze Table,Alimentation,463.5432913502631,Expense
2025-12-17,Refined Bronze Shoes,Salaire,12.381072858025185,Income
2025-12-18,Unbranded Aluminum Soap,Loisirs,246.531056668483,Expense
2026-01-04,Recycled Marble Shirt,Shopping,144.92461061278115,Expense
2025-12-15,Ergonomic Rubber Shoes,Santé,115.48821667833062,Expense
2025-12-22,Modern Granite Chips,Santé,161.65421953453355,Expense
